Sequence,Q1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q8_6,Q9,Q10,Q11
1,1,55,5,8,4,1,1,1,,3,4,3
2,1,50,5,15,4,3,1,1,,1,4,10
3,1,60,6,12,3,3,2,1,,3,4,4
4,2,40,4,14,3,3,2,7,,3,4,7
5,2,35,3,1,2,2,2,1,,3,3,5
6,1,35,3,1,2,4,2,1,,3,3,4
7,2,51,5,4,3,3,2,1,,3,4,6
8,2,51,5,8,3,1,1,7,,3,2,3
9,1,46,4,8,4,1,2,1,,2,5,9
10,2,41,4,8,3,4,1,1,,2,2,5
11,2,49,4,8,2,4,2,1,,4,4,6
12,2,30,3,8,2,2,2,1,,2,3,3
13,2,50,5,1,4,3,2,7,,4,4,7
14,1,62,6,8,2,2,2,2,,5,2,4
15,1,49,4,1,3,1,1,5,,3,5,10
16,1,47,4,1,2,4,2,1,,2,4,5
17,2,42,4,6,3,3,2,1,,2,4,5
18,2,54,5,1,4,5,1,7,,3,2,4
19,1,29,2,2,3,4,3,7,,3,4,7
20,2,58,5,12,3,4,2,1,,2,3,3
21,1,32,3,8,2,3,3,1,,3,4,3
22,1,33,3,8,4,4,1,1,,3,5,4
23,1,27,2,1,3,3,2,2,,5,4,3
24,1,39,3,8,4,4,1,1,,2,4,5
25,2,62,6,4,3,2,1,7,,3,2,1
26,1,61,6,2,2,3,2,7,,4,5,2
27,1,43,4,1,3,3,2,1,,2,3,4
28,2,28,2,6,3,1,1,7,,2,3,4
29,1,42,4,4,3,4,2,7,,4,4,6
30,1,48,4,3,3,3,2,7,,3,4,10
31,1,60,6,15,3,2,2,7,,3,4,4
32,2,45,4,8,3,4,2,1,,2,4,5
33,1,56,5,1,4,3,2,7,,3,3,5
34,2,36,3,8,2,3,2,1,,3,4,3
35,1,37,3,1,2,3,2,1,,2,3,5
36,2,33,3,1,2,2,3,7,,3,4,5
37,2,29,2,2,3,3,2,7,,4,3,3
38,1,65,6,1,4,3,2,7,,3,4,3
39,1,35,3,1,3,3,2,7,,3,4,1
40,2,58,5,1,3,1,2,7,,4,2,4
41,2,29,2,1,3,4,2,1,,2,4,4
42,1,46,4,4,3,2,2,1,,2,4,4
43,1,46,4,8,3,3,2,1,,2,4,4
44,2,41,4,8,3,4,1,1,,4,4,5
46,2,38,3,4,3,3,3,2,,3,2,5
47,1,60,6,5,4,5,3,7,,3,5,10
49,1,47,4,1,4,4,1,1,,2,4,8
50,1,42,4,8,3,2,2,7,,4,4,2
51,1,39,3,8,3,1,1,7,,2,4,4
52,1,55,5,1,3,4,3,1,,3,4,8
53,2,31,3,8,3,3,2,2,,4,2,3
54,1,49,4,8,4,4,1,1,,3,4,6
55,1,63,6,2,3,3,2,7,,3,4,5
56,1,50,5,8,2,4,2,7,,3,2,6
57,2,51,5,8,2,4,2,3,,4,2,3
58,1,62,6,2,4,1,1,2,,4,4,4
59,1,61,6,8,3,2,2,7,,4,4,5
60,1,52,5,8,3,4,2,3,,3,5,10
61,1,56,5,8,3,1,1,7,,3,4,4
62,2,30,3,8,4,3,2,1,,2,4,2
63,1,58,5,12,3,4,2,1,,2,4,4
64,2,57,5,4,3,1,3,7,,4,4,4
65,1,69,6,3,2,3,4,7,,3,4,2
66,1,53,5,1,3,4,2,1,,2,4,3
67,1,62,6,14,2,3,2,7,,3,2,1
68,1,45,4,14,2,3,2,7,,3,5,10
69,1,26,2,17,3,2,1,5,,2,2,1
70,1,47,4,1,3,4,3,1,,2,4,4
71,2,63,6,2,2,2,2,2,,3,5,5
72,2,34,3,12,2,3,3,1,,2,5,5
73,2,61,6,8,3,3,2,1,,3,2,3
74,2,32,3,3,3,2,2,7,,2,4,8
75,1,53,5,11,3,4,2,7,,2,4,5
76,2,45,4,8,3,3,2,1,,3,4,4
77,2,64,6,8,4,4,1,1,,3,4,1
78,1,69,6,9,3,3,1,7,,4,3,2
79,2,51,5,1,2,3,1,1,,3,3,1
80,2,21,2,8,4,1,1,1,,2,2,1
82,2,38,3,14,3,4,3,1,,3,4,3
83,2,50,5,9,4,1,1,7,,3,3,5
84,1,15,1,8,4,1,1,7,,4,1,1
87,1,62,6,3,2,3,2,2,,3,4,5
88,1,64,6,4,4,4,1,1,,2,4,2
89,1,61,6,2,3,3,2,7,,3,5,4
90,2,23,2,1,2,1,1,1,,4,2,3
91,2,26,2,4,4,1,1,1,,3,3,3
92,2,31,3,4,2,3,2,1,,3,5,2
93,1,54,5,8,2,1,2,7,,3,5,9
94,2,41,4,8,4,3,2,7,,2,3,5
95,1,57,5,4,2,3,2,7,,3,3,5
96,1,17,1,4,3,2,2,2,,1,1,1
97,2,44,4,1,3,3,2,7,,3,4,5
98,1,48,4,8,3,3,3,1,,2,4,6
99,2,61,6,1,3,3,2,1,,2,2,5
100,2,17,1,2,3,2,1,1,,3,2,1
101,1,34,3,8,2,4,2,1,,2,5,4
102,1,50,5,10,2,3,2,7,,4,4,5
103,1,47,4,8,4,2,2,5,,1,3,6
104,1,47,4,8,2,3,3,2,,5,3,4
105,1,39,3,8,4,2,2,7,,4,5,5
106,1,48,4,3,3,4,2,7,,3,3,3
107,2,24,2,4,3,3,2,7,,2,4,8
108,1,52,5,5,2,3,3,1,,2,4,4
109,1,16,1,8,4,4,1,1,,4,1,1
110,1,61,6,9,4,3,1,7,,2,5,6
111,2,23,2,10,3,2,2,1,,4,3,1
112,2,63,6,8,4,1,2,7,,3,2,2
113,2,56,5,9,3,1,1,1,,3,4,3
114,2,33,3,1,3,1,2,7,,3,2,1
115,2,18,1,8,2,2,2,7,,3,2,1
116,2,18,1,5,3,3,2,7,,3,1,3
117,1,63,6,8,3,4,1,1,,2,2,4
118,1,64,6,15,2,3,3,2,,4,4,4
119,2,46,4,8,3,3,2,7,,2,3,3
120,1,21,2,1,3,4,2,7,,2,2,1
121,2,57,5,11,4,1,1,1,,1,2,7
122,2,63,6,1,4,1,2,1,,2,2,5
123,1,47,4,1,2,1,1,5,,1,5,6
124,2,61,6,15,3,3,2,3,,3,2,4
125,1,32,3,8,3,3,2,2,,5,5,3
126,2,62,6,8,3,4,2,1,,2,4,7
127,1,24,2,15,2,3,2,7,,3,3,3
128,1,29,2,1,3,3,2,1,,3,4,1
129,1,20,2,10,4,2,1,7,,4,2,2
130,2,65,6,1,2,2,2,7,,2,2,6
131,2,60,6,1,3,4,2,7,,3,2,1
132,1,61,6,8,3,1,2,2,,4,4,5
133,2,55,5,8,3,3,2,1,,2,4,4
134,2,43,4,4,3,5,2,3,,2,2,4
135,1,29,2,11,3,2,2,1,,2,4,3
136,1,41,4,7,2,4,3,7,,3,4,5
137,2,46,4,6,3,3,2,7,,3,4,2
138,2,16,1,8,3,2,2,7,,3,1,4
139,2,19,1,8,4,3,2,7,,2,2,1
140,2,18,1,8,2,1,3,1,,3,2,10
141,2,23,2,1,3,4,2,1,,1,3,1
143,2,27,2,2,3,1,1,1,,3,4,3
144,2,62,6,10,3,3,2,7,,3,4,4
145,2,45,4,1,3,4,1,1,,3,4,6
146,2,19,1,1,3,3,2,1,,3,2,1
147,2,21,2,1,3,3,2,1,,2,2,1
148,2,56,5,2,3,4,2,7,,3,2,8
150,1,50,5,8,4,1,1,1,,2,4,5
151,1,26,2,11,3,3,3,1,,3,5,9
152,1,51,5,8,3,3,3,7,,3,4,3
153,2,65,6,5,3,3,3,3,,2,2,1
154,2,71,6,4,2,3,1,2,,4,2,1
156,1,20,2,1,2,3,2,7,,4,2,2
157,2,62,6,7,3,4,1,7,,4,2,2
158,2,64,6,1,3,4,2,3,,4,4,3
159,2,45,4,6,2,3,2,3,,3,4,2
160,1,37,3,1,3,3,2,7,,3,4,3
161,1,36,3,1,4,3,1,7,,3,3,3
162,2,17,1,15,3,2,1,7,,3,2,3
163,2,51,5,15,2,3,3,1,,2,2,2
164,2,35,3,9,3,3,2,1,,2,4,1
165,2,62,6,8,4,2,2,7,,3,4,1
166,2,74,6,12,2,4,2,1,,2,4,6
168,2,60,6,1,4,3,1,1,,2,2,2
172,2,31,3,15,3,4,2,7,,2,4,3
174,2,54,5,8,3,4,2,1,,1,5,3
175,1,16,1,3,2,3,2,7,,3,1,4
176,1,35,3,1,3,3,2,7,,4,4,4
178,2,33,3,8,2,1,2,1,,3,2,2
180,2,18,1,1,3,1,2,7,,3,2,3
181,2,28,2,4,1,1,4,2,,5,3,4
182,2,51,5,1,3,3,2,7,,3,2,2
183,1,25,2,8,4,4,3,2,,3,3,4
184,1,59,5,12,3,3,2,3,,3,4,5
187,2,18,1,4,4,1,1,1,,3,1,1
191,2,54,5,6,3,4,2,1,,2,4,3
195,2,54,5,3,3,3,2,7,,3,3,2
196,1,53,5,8,2,1,2,7,,3,5,3
197,2,54,5,4,4,5,1,7,,3,2,1
200,1,58,5,3,3,4,1,3,,3,5,7
201,2,41,4,8,3,3,2,7,,3,2,6
202,2,46,4,8,2,3,2,7,,3,4,4
205,1,36,3,1,4,4,2,1,,2,4,10
206,1,39,3,14,4,1,1,7,,3,3,4
209,2,26,2,2,2,1,2,7,,2,4,2
210,1,39,3,1,3,3,2,7,,3,5,8
211,2,23,2,10,4,1,1,1,,2,2,1
213,2,27,2,3,3,4,2,1,,2,3,2
214,2,19,1,13,3,2,2,1,,2,2,1
217,2,42,4,5,3,4,2,7,,4,4,1
218,1,34,3,1,4,3,2,3,,2,4,6
219,2,25,2,4,2,1,2,7,,3,4,3
221,2,32,3,12,3,1,1,7,,2,3,3
223,2,48,4,8,3,3,2,1,,1,2,5
224,2,26,2,1,3,2,2,1,,1,3,2
225,2,24,2,8,2,3,2,1,,2,4,2
226,2,24,2,1,3,4,1,1,,2,4,7
227,2,46,4,1,2,4,2,7,,4,4,4
228,2,46,4,8,2,3,2,1,,3,4,3
232,2,32,3,14,3,1,2,1,,2,2,2
233,2,30,3,8,2,1,2,7,,2,4,3
235,2,18,1,1,2,3,2,7,,2,2,1
236,2,33,3,1,3,3,2,7,,4,4,4
238,2,19,1,8,2,2,1,2,,4,2,5
240,1,51,5,8,3,4,2,7,,4,4,4
244,1,31,3,8,4,3,2,7,,3,4,4
247,1,34,3,8,3,1,1,1,,2,4,4
258,1,23,2,4,2,2,2,3,,4,2,5
259,2,18,1,4,2,3,2,5,,3,1,1
267,1,27,2,2,2,3,2,7,,3,4,3
286,1,26,2,4,4,1,1,7,,2,2,1
290,1,18,1,8,2,3,2,7,,3,1,1
293,1,28,2,1,4,4,2,1,,4,2,7
298,1,19,1,1,4,1,2,7,,2,2,7
299,1,17,1,1,2,2,1,7,,3,2,1
300,1,18,1,8,3,2,1,2,,1,1,1
302,1,21,2,8,3,3,2,3,,4,2,2
304,1,19,1,1,3,4,1,1,,1,1,1
305,1,18,1,1,2,2,2,7,,2,1,4
313,1,19,1,8,2,2,3,7,,3,2,3
315,2,17,1,8,3,1,2,1,,2,1,1
317,2,18,1,6,4,1,2,1,,2,1,5
321,1,15,1,10,3,3,2,7,,2,1,5
323,2,18,1,8,3,3,2,1,,2,1,1
325,2,14,1,8,2,1,2,5,,1,1,1
328,1,19,1,1,3,4,1,1,,2,2,5
330,1,28,2,9,3,1,2,1,,2,3,1
336,1,22,2,1,3,2,2,7,,3,2,5
347,1,17,1,8,2,3,2,7,,3,1,6
355,1,19,1,4,3,1,1,1,,3,2,1
363,1,19,1,4,2,1,1,7,,2,2,1
367,1,17,1,4,3,4,2,7,,1,1,1
375,1,18,1,10,2,2,2,3,,2,2,6
